"DateTime","Team Fortress 2","Counter-Strike 2","Tom Clancy's Rainbow Six Siege","Call of Duty®"
"2007-09-19 00:00:00",9553,,,
"2007-09-20 00:00:00",,,,
"2007-09-21 00:00:00",5118,,,
"2007-09-22 00:00:00",4616,,,
"2007-09-23 00:00:00",,,,
"2007-09-24 00:00:00",,,,
"2007-09-25 00:00:00",6847,,,
"2007-09-26 00:00:00",,,,
"2007-09-27 00:00:00",,,,
"2007-09-28 00:00:00",6628,,,
"2007-09-29 00:00:00",3719,,,
"2007-09-30 00:00:00",8137,,,
"2007-10-01 00:00:00",6332,,,
"2007-10-02 00:00:00",5875,,,
"2007-10-03 00:00:00",6266,,,
"2007-10-04 00:00:00",6043,,,
"2007-10-05 00:00:00",6684,,,
"2007-10-06 00:00:00",7948,,,
"2007-10-07 00:00:00",7948,,,
"2007-10-08 00:00:00",7989,,,
"2007-10-09 00:00:00",7422,,,
"2007-10-10 00:00:00",6020,,,
"2007-10-11 00:00:00",7976,,,
"2007-10-12 00:00:00",,,,
"2007-10-13 00:00:00",,,,
"2007-10-14 00:00:00",,,,
"2007-10-15 00:00:00",7294,,,
"2007-10-16 00:00:00",8423,,,
"2007-10-17 00:00:00",,,,
"2007-10-18 00:00:00",,,,
"2007-10-19 00:00:00",,,,
"2007-10-20 00:00:00",18842,,,
"2007-10-21 00:00:00",,,,
"2007-10-22 00:00:00",,,,
"2007-10-23 00:00:00",,,,
"2007-10-24 00:00:00",,,,
"2007-10-25 00:00:00",,,,
"2007-10-26 00:00:00",,,,
"2007-10-27 00:00:00",,,,
"2007-10-28 00:00:00",,,,
"2007-10-29 00:00:00",,,,
"2007-10-30 00:00:00",,,,
"2007-10-31 00:00:00",,,,
"2007-11-01 00:00:00",,,,
"2007-11-02 00:00:00",,,,
"2007-11-03 00:00:00",,,,
"2007-11-04 00:00:00",,,,
"2007-11-05 00:00:00",,,,
"2007-11-06 00:00:00",,,,
"2007-11-07 00:00:00",,,,
"2007-11-08 00:00:00",,,,
"2007-11-09 00:00:00",,,,
"2007-11-10 00:00:00",,,,
"2007-11-11 00:00:00",,,,
"2007-11-12 00:00:00",,,,
"2007-11-13 00:00:00",,,,
"2007-11-14 00:00:00",,,,
"2007-11-15 00:00:00",,,,
"2007-11-16 00:00:00",,,,
"2007-11-17 00:00:00",,,,
"2007-11-18 00:00:00",,,,
"2007-11-19 00:00:00",,,,
"2007-11-20 00:00:00",,,,
"2007-11-21 00:00:00",,,,
"2007-11-22 00:00:00",,,,
"2007-11-23 00:00:00",,,,
"2007-11-24 00:00:00",,,,
"2007-11-25 00:00:00",,,,
"2007-11-26 00:00:00",,,,
"2007-11-27 00:00:00",,,,
"2007-11-28 00:00:00",,,,
"2007-11-29 00:00:00",,,,
"2007-11-30 00:00:00",,,,
"2007-12-01 00:00:00",9428,,,
"2007-12-02 00:00:00",,,,
"2007-12-03 00:00:00",,,,
"2007-12-04 00:00:00",,,,
"2007-12-05 00:00:00",9550,,,
"2007-12-06 00:00:00",,,,
"2007-12-07 00:00:00",,,,
"2007-12-08 00:00:00",,,,
"2007-12-09 00:00:00",,,,
"2007-12-10 00:00:00",3917,,,
"2007-12-11 00:00:00",,,,
"2007-12-12 00:00:00",,,,
"2007-12-13 00:00:00",,,,
"2007-12-14 00:00:00",4038,,,
"2007-12-15 00:00:00",,,,
"2007-12-16 00:00:00",,,,
"2007-12-17 00:00:00",9854,,,
"2007-12-18 00:00:00",,,,
"2007-12-19 00:00:00",,,,
"2007-12-20 00:00:00",,,,
"2007-12-21 00:00:00",6228,,,
"2007-12-22 00:00:00",,,,
"2007-12-23 00:00:00",,,,
"2007-12-24 00:00:00",,,,
"2007-12-25 00:00:00",5890,,,
"2007-12-26 00:00:00",,,,
"2007-12-27 00:00:00",,,,
"2007-12-28 00:00:00",,,,
"2007-12-29 00:00:00",11628,,,
"2007-12-30 00:00:00",,,,
"2007-12-31 00:00:00",,,,
"2008-01-01 00:00:00",,,,
"2008-01-02 00:00:00",12699,,,
"2008-01-03 00:00:00",,,,
"2008-01-04 00:00:00",,,,
"2008-01-05 00:00:00",14600,,,
"2008-01-06 00:00:00",,,,
"2008-01-07 00:00:00",,,,
"2008-01-08 00:00:00",,,,
"2008-01-09 00:00:00",10829,,,
"2008-01-10 00:00:00",,,,
"2008-01-11 00:00:00",,,,
"2008-01-12 00:00:00",,,,
"2008-01-13 00:00:00",,,,
"2008-01-14 00:00:00",11775,,,
"2008-01-15 00:00:00",,,,
"2008-01-16 00:00:00",,,,
"2008-01-17 00:00:00",,,,
"2008-01-18 00:00:00",10403,,,
"2008-01-19 00:00:00",,,,
"2008-01-20 00:00:00",,,,
"2008-01-21 00:00:00",,,,
"2008-01-22 00:00:00",11398,,,
"2008-01-23 00:00:00",,,,
"2008-01-24 00:00:00",,,,
"2008-01-25 00:00:00",,,,
"2008-01-26 00:00:00",,,,
"2008-01-27 00:00:00",,,,
"2008-01-28 00:00:00",,,,
"2008-01-29 00:00:00",10653,,,
"2008-01-30 00:00:00",,,,
"2008-01-31 00:00:00",,,,
"2008-02-01 00:00:00",,,,
"2008-02-02 00:00:00",,,,
"2008-02-03 00:00:00",,,,
"2008-02-04 00:00:00",,,,
"2008-02-05 00:00:00",,,,
"2008-02-06 00:00:00",,,,
"2008-02-07 00:00:00",,,,
"2008-02-08 00:00:00",,,,
"2008-02-09 00:00:00",,,,
"2008-02-10 00:00:00",,,,
"2008-02-11 00:00:00",,,,
"2008-02-12 00:00:00",,,,
"2008-02-13 00:00:00",,,,
"2008-02-14 00:00:00",,,,
"2008-02-15 00:00:00",,,,
"2008-02-16 00:00:00",,,,
"2008-02-17 00:00:00",,,,
"2008-02-18 00:00:00",,,,
"2008-02-19 00:00:00",,,,
"2008-02-20 00:00:00",,,,
"2008-02-21 00:00:00",,,,
"2008-02-22 00:00:00",,,,
"2008-02-23 00:00:00",,,,
"2008-02-24 00:00:00",,,,
"2008-02-25 00:00:00",,,,
"2008-02-26 00:00:00",,,,
"2008-02-27 00:00:00",,,,
"2008-02-28 00:00:00",,,,
"2008-02-29 00:00:00",,,,
"2008-03-01 00:00:00",,,,
"2008-03-02 00:00:00",,,,
"2008-03-03 00:00:00",,,,
"2008-03-04 00:00:00",,,,
"2008-03-05 00:00:00",,,,
"2008-03-06 00:00:00",,,,
"2008-03-07 00:00:00",,,,
"2008-03-08 00:00:00",,,,
"2008-03-09 00:00:00",,,,
"2008-03-10 00:00:00",,,,
"2008-03-11 00:00:00",,,,
"2008-03-12 00:00:00",,,,
"2008-03-13 00:00:00",,,,
"2008-03-14 00:00:00",,,,
"2008-03-15 00:00:00",,,,
"2008-03-16 00:00:00",,,,
"2008-03-17 00:00:00",,,,
"2008-03-18 00:00:00",,,,
"2008-03-19 00:00:00",,,,
"2008-03-20 00:00:00",,,,
"2008-03-21 00:00:00",,,,
"2008-03-22 00:00:00",,,,
"2008-03-23 00:00:00",,,,
"2008-03-24 00:00:00",,,,
"2008-03-25 00:00:00",,,,
"2008-03-26 00:00:00",,,,
"2008-03-27 00:00:00",,,,
"2008-03-28 00:00:00",,,,
"2008-03-29 00:00:00",,,,
"2008-03-30 00:00:00",,,,
"2008-03-31 00:00:00",,,,
"2008-04-01 00:00:00",,,,
"2008-04-02 00:00:00",,,,
"2008-04-03 00:00:00",,,,
"2008-04-04 00:00:00",,,,
"2008-04-05 00:00:00",,,,
"2008-04-06 00:00:00",,,,
"2008-04-07 00:00:00",,,,
"2008-04-08 00:00:00",,,,
"2008-04-09 00:00:00",,,,
"2008-04-10 00:00:00",,,,
"2008-04-11 00:00:00",,,,
"2008-04-12 00:00:00",,,,
"2008-04-13 00:00:00",,,,
"2008-04-14 00:00:00",,,,
"2008-04-15 00:00:00",,,,
"2008-04-16 00:00:00",,,,
"2008-04-17 00:00:00",,,,
"2008-04-18 00:00:00",,,,
"2008-04-19 00:00:00",,,,
"2008-04-20 00:00:00",,,,
"2008-04-21 00:00:00",,,,
"2008-04-22 00:00:00",,,,
"2008-04-23 00:00:00",,,,
"2008-04-24 00:00:00",,,,
"2008-04-25 00:00:00",,,,
"2008-04-26 00:00:00",,,,
"2008-04-27 00:00:00",,,,
"2008-04-28 00:00:00",,,,
"2008-04-29 00:00:00",,,,
"2008-04-30 00:00:00",,,,
"2008-05-01 00:00:00",,,,
"2008-05-02 00:00:00",,,,
"2008-05-03 00:00:00",,,,
"2008-05-04 00:00:00",,,,
"2008-05-05 00:00:00",,,,
"2008-05-06 00:00:00",,,,
"2008-05-07 00:00:00",,,,
"2008-05-08 00:00:00",,,,
"2008-05-09 00:00:00",,,,
"2008-05-10 00:00:00",,,,
"2008-05-11 00:00:00",,,,
"2008-05-12 00:00:00",,,,
"2008-05-13 00:00:00",,,,
"2008-05-14 00:00:00",,,,
"2008-05-15 00:00:00",,,,
"2008-05-16 00:00:00",,,,
"2008-05-17 00:00:00",,,,
"2008-05-18 00:00:00",,,,
"2008-05-19 00:00:00",,,,
"2008-05-20 00:00:00",,,,
"2008-05-21 00:00:00",,,,
"2008-05-22 00:00:00",,,,
"2008-05-23 00:00:00",,,,
"2008-05-24 00:00:00",,,,
"2008-05-25 00:00:00",,,,
"2008-05-26 00:00:00",,,,
"2008-05-27 00:00:00",,,,
"2008-05-28 00:00:00",,,,
"2008-05-29 00:00:00",,,,
"2008-05-30 00:00:00",,,,
"2008-05-31 00:00:00",,,,
"2008-06-01 00:00:00",,,,
"2008-06-02 00:00:00",,,,
"2008-06-03 00:00:00",,,,
"2008-06-04 00:00:00",,,,
"2008-06-05 00:00:00",,,,
"2008-06-06 00:00:00",,,,
"2008-06-07 00:00:00",,,,
"2008-06-08 00:00:00",,,,
"2008-06-09 00:00:00",,,,
"2008-06-10 00:00:00",,,,
"2008-06-11 00:00:00",,,,
"2008-06-12 00:00:00",,,,
"2008-06-13 00:00:00",,,,
"2008-06-14 00:00:00",,,,
"2008-06-15 00:00:00",,,,
"2008-06-16 00:00:00",,,,
"2008-06-17 00:00:00",,,,
"2008-06-18 00:00:00",,,,
"2008-06-19 00:00:00",,,,
"2008-06-20 00:00:00",,,,
"2008-06-21 00:00:00",,,,
"2008-06-22 00:00:00",,,,
"2008-06-23 00:00:00",,,,
"2008-06-24 00:00:00",,,,
"2008-06-25 00:00:00",,,,
"2008-06-26 00:00:00",,,,
"2008-06-27 00:00:00",,,,
"2008-06-28 00:00:00",,,,
"2008-06-29 00:00:00",,,,
"2008-06-30 00:00:00",,,,
"2008-07-01 00:00:00",,,,
"2008-07-02 00:00:00",,,,
"2008-07-03 00:00:00",,,,
"2008-07-04 00:00:00",,,,
"2008-07-05 00:00:00",,,,
"2008-07-06 00:00:00",,,,
"2008-07-07 00:00:00",,,,
"2008-07-08 00:00:00",,,,
"2008-07-09 00:00:00",,,,
"2008-07-10 00:00:00",,,,
"2008-07-11 00:00:00",,,,
"2008-07-12 00:00:00",,,,
"2008-07-13 00:00:00",,,,
"2008-07-14 00:00:00",,,,
"2008-07-15 00:00:00",,,,
"2008-07-16 00:00:00",,,,
"2008-07-17 00:00:00",,,,
"2008-07-18 00:00:00",,,,
"2008-07-19 00:00:00",,,,
"2008-07-20 00:00:00",,,,
"2008-07-21 00:00:00",,,,
"2008-07-22 00:00:00",,,,
"2008-07-23 00:00:00",,,,
"2008-07-24 00:00:00",,,,
"2008-07-25 00:00:00",,,,
"2008-07-26 00:00:00",,,,
"2008-07-27 00:00:00",,,,
"2008-07-28 00:00:00",,,,
"2008-07-29 00:00:00",,,,
"2008-07-30 00:00:00",,,,
"2008-07-31 00:00:00",,,,
"2008-08-01 00:00:00",,,,
"2008-08-02 00:00:00",,,,
"2008-08-03 00:00:00",,,,
"2008-08-04 00:00:00",,,,
"2008-08-05 00:00:00",,,,
"2008-08-06 00:00:00",,,,
"2008-08-07 00:00:00",,,,
"2008-08-08 00:00:00",,,,
"2008-08-09 00:00:00",,,,
"2008-08-10 00:00:00",,,,
"2008-08-11 00:00:00",,,,
"2008-08-12 00:00:00",,,,
"2008-08-13 00:00:00",,,,
"2008-08-14 00:00:00",,,,
"2008-08-15 00:00:00",,,,
"2008-08-16 00:00:00",,,,
"2008-08-17 00:00:00",,,,
"2008-08-18 00:00:00",,,,
"2008-08-19 00:00:00",,,,
"2008-08-20 00:00:00",,,,
"2008-08-21 00:00:00",,,,
"2008-08-22 00:00:00",,,,
"2008-08-23 00:00:00",,,,
"2008-08-24 00:00:00",,,,
"2008-08-25 00:00:00",,,,
"2008-08-26 00:00:00",,,,
"2008-08-27 00:00:00",,,,
"2008-08-28 00:00:00",,,,
"2008-08-29 00:00:00",,,,
"2008-08-30 00:00:00",,,,
"2008-08-31 00:00:00",,,,
"2008-09-01 00:00:00",,,,
"2008-09-02 00:00:00",,,,
"2008-09-03 00:00:00",,,,
"2008-09-04 00:00:00",,,,
"2008-09-05 00:00:00",,,,
"2008-09-06 00:00:00",,,,
"2008-09-07 00:00:00",17022,,,
"2008-09-08 00:00:00",,,,
"2008-09-09 00:00:00",13753,,,
"2008-09-10 00:00:00",,,,
"2008-09-11 00:00:00",5006,,,
"2008-09-12 00:00:00",14286,,,
"2008-09-13 00:00:00",19086,,,
"2008-09-14 00:00:00",18326,,,
"2008-09-15 00:00:00",5501,,,
"2008-09-16 00:00:00",8677,,,
"2008-09-17 00:00:00",10916,,,
"2008-09-18 00:00:00",,,,
"2008-09-19 00:00:00",11043,,,
"2008-09-20 00:00:00",,,,
"2008-09-21 00:00:00",11043,,,
"2008-09-22 00:00:00",11781,,,
"2008-09-23 00:00:00",13161,,,
"2008-09-24 00:00:00",13132,,,
"2008-09-25 00:00:00",,,,
"2008-09-26 00:00:00",,,,
"2008-09-27 00:00:00",,,,
"2008-09-28 00:00:00",,,,
"2008-09-29 00:00:00",,,,
"2008-09-30 00:00:00",5132,,,
"2008-10-01 00:00:00",,,,
"2008-10-02 00:00:00",10528,,,
"2008-10-03 00:00:00",12559,,,
"2008-10-04 00:00:00",,,,
"2008-10-05 00:00:00",9572,,,
"2008-10-06 00:00:00",,,,
"2008-10-07 00:00:00",10414,,,
"2008-10-08 00:00:00",6263,,,
"2008-10-09 00:00:00",4678,,,
"2008-10-10 00:00:00",4863,,,
"2008-10-11 00:00:00",11613,,,
"2008-10-12 00:00:00",,,,
"2008-10-13 00:00:00",6665,,,
"2008-10-14 00:00:00",,,,
"2008-10-15 00:00:00",10384,,,
"2008-10-16 00:00:00",,,,
"2008-10-17 00:00:00",11625,,,
"2008-10-18 00:00:00",,,,
"2008-10-19 00:00:00",14212,,,
"2008-10-20 00:00:00",,,,
"2008-10-21 00:00:00",9746,,,
"2008-10-22 00:00:00",,,,
"2008-10-23 00:00:00",5243,,,
"2008-10-24 00:00:00",9236,,,
"2008-10-25 00:00:00",14222,,,
"2008-10-26 00:00:00",12904,,,
"2008-10-27 00:00:00",,,,
"2008-10-28 00:00:00",,,,
"2008-10-29 00:00:00",9411,,,
"2008-10-30 00:00:00",,,,
"2008-10-31 00:00:00",,,,
"2008-11-01 00:00:00",,,,
"2008-11-02 00:00:00",,,,
"2008-11-03 00:00:00",6159,,,
"2008-11-04 00:00:00",6853,,,
"2008-11-05 00:00:00",,,,
"2008-11-06 00:00:00",,,,
"2008-11-07 00:00:00",,,,
"2008-11-08 00:00:00",6524,,,
"2008-11-09 00:00:00",,,,
"2008-11-10 00:00:00",,,,
"2008-11-11 00:00:00",,,,
"2008-11-12 00:00:00",,,,
"2008-11-13 00:00:00",3475,,,
"2008-11-14 00:00:00",,,,
"2008-11-15 00:00:00",,,,
"2008-11-16 00:00:00",,,,
"2008-11-17 00:00:00",,,,
"2008-11-18 00:00:00",,,,
"2008-11-19 00:00:00",,,,
"2008-11-20 00:00:00",,,,
"2008-11-21 00:00:00",,,,
"2008-11-22 00:00:00",,,,
"2008-11-23 00:00:00",,,,
"2008-11-24 00:00:00",,,,
"2008-11-25 00:00:00",,,,
"2008-11-26 00:00:00",,,,
"2008-11-27 00:00:00",,,,
"2008-11-28 00:00:00",,,,
"2008-11-29 00:00:00",,,,
"2008-11-30 00:00:00",,,,
"2008-12-01 00:00:00",,,,
"2008-12-02 00:00:00",4000,,,
"2008-12-03 00:00:00",,,,
"2008-12-04 00:00:00",,,,
"2008-12-05 00:00:00",,,,
"2008-12-06 00:00:00",10942,,,
"2008-12-07 00:00:00",,,,
"2008-12-08 00:00:00",,,,
"2008-12-09 00:00:00",,,,
"2008-12-10 00:00:00",5681,,,
"2008-12-11 00:00:00",,,,
"2008-12-12 00:00:00",,,,
"2008-12-13 00:00:00",,,,
"2008-12-14 00:00:00",,,,
"2008-12-15 00:00:00",,,,
"2008-12-16 00:00:00",11333,,,
"2008-12-17 00:00:00",10751,,,
"2008-12-18 00:00:00",,,,
"2008-12-19 00:00:00",,,,
"2008-12-20 00:00:00",,,,
"2008-12-21 00:00:00",,,,
"2008-12-22 00:00:00",,,,
"2008-12-23 00:00:00",,,,
"2008-12-24 00:00:00",,,,
"2008-12-25 00:00:00",,,,
"2008-12-26 00:00:00",,,,
"2008-12-27 00:00:00",,,,
"2008-12-28 00:00:00",,,,
"2008-12-29 00:00:00",,,,
"2008-12-30 00:00:00",,,,
"2008-12-31 00:00:00",,,,
"2009-01-01 00:00:00",,,,
"2009-01-02 00:00:00",,,,
"2009-01-03 00:00:00",,,,
"2009-01-04 00:00:00",,,,
"2009-01-05 00:00:00",,,,
"2009-01-06 00:00:00",,,,
"2009-01-07 00:00:00",,,,
"2009-01-08 00:00:00",,,,
"2009-01-09 00:00:00",,,,
"2009-01-10 00:00:00",,,,
"2009-01-11 00:00:00",,,,
"2009-01-12 00:00:00",,,,
"2009-01-13 00:00:00",,,,
"2009-01-14 00:00:00",,,,
"2009-01-15 00:00:00",,,,
"2009-01-16 00:00:00",5492,,,
"2009-01-17 00:00:00",,,,
"2009-01-18 00:00:00",,,,
"2009-01-19 00:00:00",,,,
"2009-01-20 00:00:00",,,,
"2009-01-21 00:00:00",,,,
"2009-01-22 00:00:00",,,,
"2009-01-23 00:00:00",,,,
"2009-01-24 00:00:00",12613,,,
"2009-01-25 00:00:00",,,,
"2009-01-26 00:00:00",,,,
"2009-01-27 00:00:00",,,,
"2009-01-28 00:00:00",,,,
"2009-01-29 00:00:00",,,,
"2009-01-30 00:00:00",,,,
"2009-01-31 00:00:00",,,,
"2009-02-01 00:00:00",8451,,,
"2009-02-02 00:00:00",6467,,,
"2009-02-03 00:00:00",,,,
"2009-02-04 00:00:00",,,,
"2009-02-05 00:00:00",,,,
"2009-02-06 00:00:00",,,,
"2009-02-07 00:00:00",13745,,,
"2009-02-08 00:00:00",11816,,,
"2009-02-09 00:00:00",,,,
"2009-02-10 00:00:00",,,,
"2009-02-11 00:00:00",,,,
"2009-02-12 00:00:00",,,,
"2009-02-13 00:00:00",,,,
"2009-02-14 00:00:00",12971,,,
"2009-02-15 00:00:00",,,,
"2009-02-16 00:00:00",,,,
"2009-02-17 00:00:00",,,,
"2009-02-18 00:00:00",,,,
"2009-02-19 00:00:00",6538,,,
"2009-02-20 00:00:00",,,,
"2009-02-21 00:00:00",,,,
"2009-02-22 00:00:00",,,,
"2009-02-23 00:00:00",,,,
"2009-02-24 00:00:00",7343,,,
"2009-02-25 00:00:00",,,,
"2009-02-26 00:00:00",24366,,,
"2009-02-27 00:00:00",,,,
"2009-02-28 00:00:00",,,,
"2009-03-01 00:00:00",,,,
"2009-03-02 00:00:00",,,,
"2009-03-03 00:00:00",16560,,,
"2009-03-04 00:00:00",14840,,,
"2009-03-05 00:00:00",,,,
"2009-03-06 00:00:00",,,,
"2009-03-07 00:00:00",,,,
"2009-03-08 00:00:00",,,,
"2009-03-09 00:00:00",,,,
"2009-03-10 00:00:00",,,,
"2009-03-11 00:00:00",10244,,,
"2009-03-12 00:00:00",,,,
"2009-03-13 00:00:00",,,,
"2009-03-14 00:00:00",,,,
"2009-03-15 00:00:00",,,,
"2009-03-16 00:00:00",12315,,,
"2009-03-17 00:00:00",,,,
"2009-03-18 00:00:00",15770,,,
"2009-03-19 00:00:00",,,,
"2009-03-20 00:00:00",,,,
"2009-03-21 00:00:00",8964,,,
"2009-03-22 00:00:00",,,,
"2009-03-23 00:00:00",,,,
"2009-03-24 00:00:00",,,,
"2009-03-25 00:00:00",,,,
"2009-03-26 00:00:00",,,,
"2009-03-27 00:00:00",7073,,,
"2009-03-28 00:00:00",,,,
"2009-03-29 00:00:00",14201,,,
"2009-03-30 00:00:00",13886,,,
"2009-03-31 00:00:00",,,,
"2009-04-01 00:00:00",11241,,,
"2009-04-02 00:00:00",,,,
"2009-04-03 00:00:00",,,,
"2009-04-04 00:00:00",,,,
"2009-04-05 00:00:00",,,,
"2009-04-06 00:00:00",,,,
"2009-04-07 00:00:00",11163,,,
"2009-04-08 00:00:00",,,,
"2009-04-09 00:00:00",,,,
"2009-04-10 00:00:00",,,,
"2009-04-11 00:00:00",,,,
"2009-04-12 00:00:00",8666,,,
"2009-04-13 00:00:00",,,,
"2009-04-14 00:00:00",,,,
"2009-04-15 00:00:00",,,,
"2009-04-16 00:00:00",6187,,,
"2009-04-17 00:00:00",11550,,,
"2009-04-18 00:00:00",,,,
"2009-04-19 00:00:00",,,,
"2009-04-20 00:00:00",,,,
"2009-04-21 00:00:00",,,,
"2009-04-22 00:00:00",9942,,,
"2009-04-23 00:00:00",,,,
"2009-04-24 00:00:00",,,,
"2009-04-25 00:00:00",,,,
"2009-04-26 00:00:00",,,,
"2009-04-27 00:00:00",6649,,,
"2009-04-28 00:00:00",8436,,,
"2009-04-29 00:00:00",,,,
"2009-04-30 00:00:00",9269,,,
"2009-05-01 00:00:00",,,,
"2009-05-02 00:00:00",8791,,,
"2009-05-03 00:00:00",10805,,,
"2009-05-04 00:00:00",,,,
"2009-05-05 00:00:00",,,,
"2009-05-06 00:00:00",,,,
"2009-05-07 00:00:00",,,,
"2009-05-08 00:00:00",,,,
"2009-05-09 00:00:00",,,,
"2009-05-10 00:00:00",,,,
"2009-05-11 00:00:00",7685,,,
"2009-05-12 00:00:00",,,,
"2009-05-13 00:00:00",,,,
"2009-05-14 00:00:00",,,,
"2009-05-15 00:00:00",,,,
"2009-05-16 00:00:00",,,,
"2009-05-17 00:00:00",,,,
"2009-05-18 00:00:00",,,,
"2009-05-19 00:00:00",,,,
"2009-05-20 00:00:00",,,,
"2009-05-21 00:00:00",,,,
"2009-05-22 00:00:00",,,,
"2009-05-23 00:00:00",44697,,,
"2009-05-24 00:00:00",,,,
"2009-05-25 00:00:00",,,,
"2009-05-26 00:00:00",,,,
"2009-05-27 00:00:00",,,,
"2009-05-28 00:00:00",,,,
"2009-05-29 00:00:00",29555,,,
"2009-05-30 00:00:00",,,,
"2009-05-31 00:00:00",,,,
"2009-06-01 00:00:00",39286,,,
"2009-06-02 00:00:00",,,,
"2009-06-03 00:00:00",,,,
"2009-06-04 00:00:00",,,,
"2009-06-05 00:00:00",27482,,,
"2009-06-06 00:00:00",,,,
"2009-06-07 00:00:00",,,,
"2009-06-08 00:00:00",,,,
"2009-06-09 00:00:00",,,,
"2009-06-10 00:00:00",,,,
"2009-06-11 00:00:00",,,,
"2009-06-12 00:00:00",26350,,,
"2009-06-13 00:00:00",,,,
"2009-06-14 00:00:00",,,,
"2009-06-15 00:00:00",20528,,,
"2009-06-16 00:00:00",,,,
"2009-06-17 00:00:00",,,,
"2009-06-18 00:00:00",,,,
"2009-06-19 00:00:00",,,,
"2009-06-20 00:00:00",,,,
"2009-06-21 00:00:00",23254,,,
"2009-06-22 00:00:00",,,,
"2009-06-23 00:00:00",,,,
"2009-06-24 00:00:00",,,,
"2009-06-25 00:00:00",,,,
"2009-06-26 00:00:00",,,,
"2009-06-27 00:00:00",18842,,,
"2009-06-28 00:00:00",,,,
"2009-06-29 00:00:00",,,,
"2009-06-30 00:00:00",,,,
"2009-07-01 00:00:00",,,,
"2009-07-02 00:00:00",,,,
"2009-07-03 00:00:00",12509,,,
"2009-07-04 00:00:00",,,,
"2009-07-05 00:00:00",,,,
"2009-07-06 00:00:00",,,,
"2009-07-07 00:00:00",12080,,,
"2009-07-08 00:00:00",,,,
"2009-07-09 00:00:00",,,,
"2009-07-10 00:00:00",,,,
"2009-07-11 00:00:00",18539,,,
"2009-07-12 00:00:00",,,,
"2009-07-13 00:00:00",11657,,,
"2009-07-14 00:00:00",,,,
"2009-07-15 00:00:00",,,,
"2009-07-16 00:00:00",,,,
"2009-07-17 00:00:00",,,,
"2009-07-18 00:00:00",,,,
"2009-07-19 00:00:00",17181,,,
"2009-07-20 00:00:00",,,,
"2009-07-21 00:00:00",,,,
"2009-07-22 00:00:00",,,,
"2009-07-23 00:00:00",,,,
"2009-07-24 00:00:00",17491,,,
"2009-07-25 00:00:00",,,,
"2009-07-26 00:00:00",,,,
"2009-07-27 00:00:00",,,,
"2009-07-28 00:00:00",,,,
"2009-07-29 00:00:00",16287,,,
"2009-07-30 00:00:00",,,,
"2009-07-31 00:00:00",,,,
"2009-08-01 00:00:00",,,,
"2009-08-02 00:00:00",,,,
"2009-08-03 00:00:00",11875,,,
"2009-08-04 00:00:00",16522,,,
"2009-08-05 00:00:00",,,,
"2009-08-06 00:00:00",,,,
"2009-08-07 00:00:00",,,,
"2009-08-08 00:00:00",,,,
"2009-08-09 00:00:00",13641,,,
"2009-08-10 00:00:00",,,,
"2009-08-11 00:00:00",,,,
"2009-08-12 00:00:00",12592,,,
"2009-08-13 00:00:00",,,,
"2009-08-14 00:00:00",,,,
"2009-08-15 00:00:00",24224,,,
"2009-08-16 00:00:00",,,,
"2009-08-17 00:00:00",23259,,,
"2009-08-18 00:00:00",,,,
"2009-08-19 00:00:00",,,,
"2009-08-20 00:00:00",20233,,,
"2009-08-21 00:00:00",,,,
"2009-08-22 00:00:00",,,,
"2009-08-23 00:00:00",,,,
"2009-08-24 00:00:00",,,,
"2009-08-25 00:00:00",32075,,,
"2009-08-26 00:00:00",,,,
"2009-08-27 00:00:00",,,,
"2009-08-28 00:00:00",,,,
"2009-08-29 00:00:00",,,,
"2009-08-30 00:00:00",28175,,,
"2009-08-31 00:00:00",,,,
"2009-09-01 00:00:00",,,,
"2009-09-02 00:00:00",,,,
"2009-09-03 00:00:00",,,,
"2009-09-04 00:00:00",,,,
"2009-09-05 00:00:00",24666,,,
"2009-09-06 00:00:00",,,,
"2009-09-07 00:00:00",,,,
"2009-09-08 00:00:00",18141,,,
"2009-09-09 00:00:00",,,,
"2009-09-10 00:00:00",17736,,,
"2009-09-11 00:00:00",13552,,,
"2009-09-12 00:00:00",,,,
"2009-09-13 00:00:00",,,,
"2009-09-14 00:00:00",,,,
"2009-09-15 00:00:00",,,,
"2009-09-16 00:00:00",16303,,,
"2009-09-17 00:00:00",,,,
"2009-09-18 00:00:00",,,,
"2009-09-19 00:00:00",,,,
"2009-09-20 00:00:00",,,,
"2009-09-21 00:00:00",,,,
"2009-09-22 00:00:00",,,,
"2009-09-23 00:00:00",,,,
"2009-09-24 00:00:00",,,,
"2009-09-25 00:00:00",8116,,,
"2009-09-26 00:00:00",,,,
"2009-09-27 00:00:00",,,,
"2009-09-28 00:00:00",,,,
"2009-09-29 00:00:00",,,,
"2009-09-30 00:00:00",12666,,,
"2009-10-01 00:00:00",,,,
"2009-10-02 00:00:00",,,,
"2009-10-03 00:00:00",,,,
"2009-10-04 00:00:00",,,,
"2009-10-05 00:00:00",16011,,,
"2009-10-06 00:00:00",,,,
"2009-10-07 00:00:00",,,,
"2009-10-08 00:00:00",,,,
"2009-10-09 00:00:00",,,,
"2009-10-10 00:00:00",,,,
"2009-10-11 00:00:00",,,,
"2009-10-12 00:00:00",16858,,,
"2009-10-13 00:00:00",7759,,,
"2009-10-14 00:00:00",,,,
"2009-10-15 00:00:00",,,,
